Product URL,Name,Rating,Number of Ratings,Number of Reviews,Power Usage (W),Room Size (sqft),Warranty,Price (₹),Original Price (₹),Discount (%)
https://www.flipkart.com/lg-2025-mode-ai-convertible-6-in-1-1-5-ton-3-star-split-dual-inverter-faster-cooling-energy-saving-viraat-diet-plus-ac-white/p/itm5d38061f6a915?pid=ACNH7SB8HTAJF85N&lid=LSTACNH7SB8HTAJF85NANM1L2&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_1&otracker=search&otracker1=search&iid=en_7bVdApK1uqJXSI-8c5noTj1n1FOXTIasZoY34xlgej1fx6KeAnAsfBGwvA7RC5XpOmUyC81jq_vO4VZaoGhv0_UFjCTyOHoHZs-Z5_PS_w0%3D&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,LG 2025 Mode AI Convertible 6-in-1 1.5 Ton 3 Star Split AI Dual Inverter with Faster Cooling and Energ...,4.1,41259,3662,852.44 kWh,111 - 150 sqft,"1 Year Warranty on Product,  5 Years on PCB and 10 Years on Compressor with Gas Charging",37690,78990,52 
https://www.flipkart.com/lg-ai-convertible-6-in-1-cooling-2024-model-1-5-ton-3-star-split-dual-inverter-hd-filter-anti-virus-protection-viraat-mode-diet-mode-adc-sensor-ac-white/p/itm1aaacb6452e5a?pid=ACNGX677RWXAXJRX&lid=LSTACNGX677RWXAXJRXINO67L&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_2&otracker=search&otracker1=search&iid=en_7bVdApK1uqJXSI-8c5noTj1n1FOXTIasZoY34xlgej03Y3OpOvFpGOZQFhgBzFX1ZYmQI-pmy7Reh8HPtBr2DfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 3 Star Split Dual Inverter HD Filter with Anti-Vir...,4.1,41259,3662,852.44 kWh,111 - 150 sqft,"1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor from LG",36990,78990,53 
https://www.flipkart.com/marq-flipkart-0-75-ton-3-star-split-inverter-4-in-1-convertible-turbo-cool-technology-ac-white/p/itm5858050ed6e4f?pid=ACNH5HU3ZNYXDCZU&lid=LSTACNH5HU3ZNYXDCZU2KPLWG&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_3&otracker=search&otracker1=search&iid=49f17a58-8a6e-4348-a9c8-b232d8430c51.ACNH5HU3ZNYXDCZU.SEARCH&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,MarQ by Flipkart 0.75 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  - Wh...,4.1,3441,348,553.16 kWh,90 sqft,1 Year Warranty on Product and 10 Years Warranty on Compressor,20990,46499,54 
https://www.flipkart.com/blue-star-2024-model-1-5-ton-3-split-inverter-ac-white/p/itmab0b8332e257e?pid=ACNGZ3J6PHWGDDWH&lid=LSTACNGZ3J6PHWGDDWHHBJFGC&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_4&otracker=search&otracker1=search&iid=49f17a58-8a6e-4348-a9c8-b232d8430c51.ACNGZ3J6PHWGDDWH.SEARCH&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Blue Star 2024 Model 1.5 Ton 3 Star Split Inverter AC  - White,4,4312,287,1006.84 kWh,111 - 150 sqft,N/A,35990,61250,41 
https://www.flipkart.com/godrej-5-in-1-convertible-cooling-1-4-ton-3-star-split-inverter-heavy-duty-extreme-temperature-ac-white/p/itm935811313e57a?pid=ACNH43D6EZCGYYPM&lid=LSTACNH43D6EZCGYYPMO2IK5P&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_5&otracker=search&otracker1=search&iid=49f17a58-8a6e-4348-a9c8-b232d8430c51.ACNH43D6EZCGYYPM.SEARCH&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Godrej 5-In-1-Convertible Cooling 1.4 Ton 3 Star Split Inverter Heavy Duty Cooling At Extreme Temperat...,4,10558,788,905.88 kWh,111 - 150 sqft,"5 Years Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",29990,43900,31 
https://www.flipkart.com/blue-star-2025-model-1-5-ton-5-split-inverter-ac-wi-fi-connect-white/p/itm5b7e21b278717?pid=ACNH7C2HKZSJGHFZ&lid=LSTACNH7C2HKZSJGHFZ4UOWDM&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&spotlightTagId=TrendingId_j9e%2Fabm%2Fc54&srno=s_1_6&otracker=search&otracker1=search&iid=49f17a58-8a6e-4348-a9c8-b232d8430c51.ACNH7C2HKZSJGHFZ.SEARCH&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Blue Star 2025 Model 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,4.3,71,9,783.33 kWh,111 - 150 sqft,N/A,43990,75000,41 
https://www.flipkart.com/blue-star-2024-model-0-8-ton-3-split-inverter-ac-white/p/itm0addbca1ef446?pid=ACNGZ5J4GY4WBBSN&lid=LSTACNGZ5J4GY4WBBSNGTJBUF&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_7&otracker=search&otracker1=search&iid=49f17a58-8a6e-4348-a9c8-b232d8430c51.ACNGZ5J4GY4WBBSN.SEARCH&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Blue Star 2024 Model 0.8 Ton 3 Star Split Inverter AC  - White,4,5601,468,544.39 kWh,90 sqft,N/A,27990,42500,34 
https://www.flipkart.com/marq-flipkart-2025-1-ton-5-star-split-inverter-5-in-1-convertible-turbo-cool-technology-ac-white/p/itmfd8dfe14ce4f5?pid=ACNH76Z3Q6TDP42V&lid=LSTACNH76Z3Q6TDP42VIQMZD2&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_8&otracker=search&otracker1=search&iid=en_7bVdApK1uqJXSI-8c5noTj1n1FOXTIasZoY34xlgej35Ic_AEUfRBaAFpjeOH6m8QL8sU6TiRXjUbCl5bSs0jX3Gaq_wzx4HJysDmGalzMk%3D&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,MarQ by Flipkart 2025 1 Ton 5 Star Split Inverter 5-in-1 Convertible with Turbo Cool Technology AC  - ...,4.3,3,0,526.8 kWh,90 sqft,1 Year Warranty on Product and 10 Years Warranty on Compressor,28990,52999,45 
https://www.flipkart.com/daikin-0-8-ton-3-star-split-ac-white/p/itm4c8aa47c133db?pid=ACNH4GWQHXG4HQUX&lid=LSTACNH4GWQHXG4HQUXAUTSYN&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_9&otracker=search&otracker1=search&iid=49f17a58-8a6e-4348-a9c8-b232d8430c51.ACNH4GWQHXG4HQUX.SEARCH&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Daikin 0.8 Ton 3 Star Split AC  - White,4.2,15432,1177,574.39 kWh,90 sqft,1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor,26990,38100,29 
https://www.flipkart.com/samsung-2025-model-bespoke-ai-5-step-convertible-1-5-ton-3-star-split-inverter-powerful-cooling-energy-saving-120-expandable-ac-wi-fi-connect-white/p/itm5c1ad82bd595b?pid=ACNH7SAPGZZCDTDN&lid=LSTACNH7SAPGZZCDTDNZIXUB4&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_10&otracker=search&otracker1=search&iid=49f17a58-8a6e-4348-a9c8-b232d8430c51.ACNH7SAPGZZCDTDN.SEARCH&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,"SAMSUNG 2025 Model Bespoke AI, 5 Step Convertible 1.5 Ton 3 Star Split Inverter with Powerful cooling ...",4.2,10384,1061,852.47 kWh,111 - 150 sqft,"5 year comprehensive warranty on product, 10 years on compressor",36490,56990,35 
