Product URL,Name,Rating,Number of Ratings,Number of Reviews,Max Speed (RPM),Star Rating,In-Built Heater,Warranty,Price (₹),Original Price (₹),Discount (%)
https://www.flipkart.com/onida-9-kg-washer-only-white-maroon/p/itmfga8j63cagyh9?pid=WMNEW5ZTZGDP7GJN&lid=LSTWMNEW5ZTZGDP7GJN2LCFYV&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_1&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_sv_iytFyWuUIeXL5sl_SeCt1PhmzbTUiPwME9ZrRZndVXvhjwR85tpyLwnrUO5h1B3oWI3AF2LOcsjcx-aRMffUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"ONIDA 9 kg Washer only White, Maroon",4.2,28754,3114,780 RPM,N/A,N/A,1 Years,6590,7050,6 
https://www.flipkart.com/onida-9-kg-washer-only-black/p/itm12754b37b95fe?pid=WMNGW6Q3PK7FXCG8&lid=LSTWMNGW6Q3PK7FXCG8QXVWRO&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_2&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_sv_iytFyWuUIeXL5sl_SeCt1PhmzbTUiPwME9ZrRZncQg6v0dEKaSn99_wNUjnsAtUx0q_xYHKkhz5dZmY0rqvUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,ONIDA 9 kg Washer only Black,4.2,28754,3114,780 RPM,1 Star,N/A,1 Years,6490,7250,10 
https://www.flipkart.com/marq-flipkart-6-kg-5-star-rating-innowash-range-semi-automatic-top-load-washing-machine-white-maroon/p/itm11df0fd0f85df?pid=WMNGYHCPZ5Y6NBV4&lid=LSTWMNGYHCPZ5Y6NBV4QDLBPH&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_3&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=9b533b4b-9100-43e6-812b-74493bc2e5c7.WMNGYHCPZ5Y6NBV4.SEARCH&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"MarQ by Flipkart 6 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine White, Maro...",4.2,23581,2185,1350 RPM,5 Star,N/A,2 Years,6790,11990,43 
https://www.flipkart.com/whirlpool-6-5-kg-fully-automatic-top-load-washing-machine-in-built-heater-grey/p/itm9fe0dcaaaf7bf?pid=WMNGVNUZEKPK7WWS&lid=LSTWMNGVNUZEKPK7WWSBBUDYL&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_4&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=9b533b4b-9100-43e6-812b-74493bc2e5c7.WMNGVNUZEKPK7WWS.SEARCH&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,Whirlpool 6.5 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,4.1,28802,1951,740 RPM,5 Star,Yes,2 Years,15990,21150,24 
https://www.flipkart.com/voltas-beko-7-5-kg-semi-automatic-top-load-washing-machine-grey-white/p/itma22d4a2470d45?pid=WMNGXUHC4ZUFZEGR&lid=LSTWMNGXUHC4ZUFZEGRDU7TUD&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_5&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=9b533b4b-9100-43e6-812b-74493bc2e5c7.WMNGXUHC4ZUFZEGR.SEARCH&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"Voltas Beko 7.5 kg Semi Automatic Top Load Washing Machine Grey, White",4.3,13817,977,1350 RPM,5 Star,N/A,1 Years,9590,17990,46 
https://www.flipkart.com/thomson-7-kg-washer-only-red-white/p/itm8fa54ffd49138?pid=WMNGAB3BDGK6ZZCW&lid=LSTWMNGAB3BDGK6ZZCWCANBXY&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_6&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=9b533b4b-9100-43e6-812b-74493bc2e5c7.WMNGAB3BDGK6ZZCW.SEARCH&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"Thomson 7 kg Washer only Red, White",4.1,1875,211,780 RPM,N/A,N/A,1 Years,4990,7999,37 
https://www.flipkart.com/realme-techlife-7-kg-5-star-rating-semi-automatic-top-load-washing-machine-white-black/p/itmc94e124668ec6?pid=WMNGBFX49DZJWFKZ&lid=LSTWMNGBFX49DZJWFKZKCTHM6&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_7&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=9b533b4b-9100-43e6-812b-74493bc2e5c7.WMNGBFX49DZJWFKZ.SEARCH&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black",4.2,75114,6960,1400 RPM,5 Star,N/A,N/A,7690,12490,38 
https://www.flipkart.com/whirlpool-7-kg-5-star-ace-wash-station-1400-rpm-speed-rust-proof-semi-automatic-top-load-washing-machine-grey/p/itm4a1a90b50cd6a?pid=WMNGVZF89BJGZQZU&lid=LSTWMNGVZF89BJGZQZULSRMOM&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_8&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_sv_iytFyWuUIeXL5sl_SeCt1PhmzbTUiPwME9ZrRZnfFH79jfK0nDVacjgFsxnbh-srlMuMpckXMWjIKthAM5n3Gaq_wzx4HJysDmGalzMk%3D&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"Whirlpool 7 kg 5 Star with Ace Wash Station, 1400 RPM Speed and Rust Proof Semi Automatic Top Load Was...",4.4,26259,1851,1400 RPM,5 Star,N/A,4 Years,9990,13550,26 
https://www.flipkart.com/realme-techlife-7-5-kg-5-star-rating-semi-automatic-top-load-washing-machine-black-grey/p/itm16f231540f615?pid=WMNGATRJPSSNF4BN&lid=LSTWMNGATRJPSSNF4BNVZQWDR&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_9&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=9b533b4b-9100-43e6-812b-74493bc2e5c7.WMNGATRJPSSNF4BN.SEARCH&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey",4.2,75114,6960,1400 RPM,5 Star,N/A,N/A,7990,13990,42 
https://www.flipkart.com/whirlpool-7-kg-magic-clean-5-star-fully-automatic-top-load-washing-machine-grey/p/itm50fdb8ca1e478?pid=WMNGDSUXZS5BWH7H&lid=LSTWMNGDSUXZS5BWH7HJAJBFH&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&spotlightTagId=BestsellerId_j9e%2Fabm%2F8qx&srno=s_1_10&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=9b533b4b-9100-43e6-812b-74493bc2e5c7.WMNGDSUXZS5BWH7H.SEARCH&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey,4.1,28802,1951,740 RPM,5 Star,N/A,2 Years,14990,19350,22 
